Training with a single process on 1 GPUs.
Model ViTAE_basic_Small created, param count: 24032136
Model ViTAE_basic_Small created, trainable param count: 24009096
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
Train: 8 [6350/10009 ( 63%)]  Loss:  5.840245 (4.8086)  Time: 0.683s,  187.41/s  (1.293s,   98.97/s)  LR: 2.002e-04  Data: 0.017 (0.632)
Train: 8 [6400/10009 ( 64%)]  Loss:  5.138840 (4.8092)  Time: 0.680s,  188.35/s  (1.292s,   99.04/s)  LR: 2.002e-04  Data: 0.017 (0.632)
Train: 8 [6450/10009 ( 64%)]  Loss:  4.657576 (4.8097)  Time: 0.676s,  189.21/s  (1.292s,   99.11/s)  LR: 2.002e-04  Data: 0.016 (0.631)
Train: 8 [6500/10009 ( 65%)]  Loss:  3.444526 (4.8100)  Time: 5.571s,   22.98/s  (1.292s,   99.05/s)  LR: 2.002e-04  Data: 4.911 (0.631)
Train: 8 [6550/10009 ( 65%)]  Loss:  5.045697 (4.8104)  Time: 0.674s,  189.77/s  (1.292s,   99.06/s)  LR: 2.002e-04  Data: 0.017 (0.631)
Train: 8 [6600/10009 ( 66%)]  Loss:  5.140778 (4.8100)  Time: 0.680s,  188.24/s  (1.291s,   99.13/s)  LR: 2.002e-04  Data: 0.016 (0.630)
Train: 8 [6650/10009 ( 66%)]  Loss:  3.896780 (4.8105)  Time: 0.663s,  193.20/s  (1.290s,   99.20/s)  LR: 2.002e-04  Data: 0.016 (0.629)
Train: 8 [6700/10009 ( 67%)]  Loss:  3.579518 (4.8091)  Time: 2.216s,   57.75/s  (1.291s,   99.16/s)  LR: 2.002e-04  Data: 1.554 (0.630)
Train: 8 [6750/10009 ( 67%)]  Loss:  5.260240 (4.8085)  Time: 0.679s,  188.48/s  (1.290s,   99.23/s)  LR: 2.002e-04  Data: 0.017 (0.629)
Train: 8 [6800/10009 ( 68%)]  Loss:  3.714189 (4.8089)  Time: 0.682s,  187.68/s  (1.289s,   99.28/s)  LR: 2.002e-04  Data: 0.016 (0.628)
Train: 8 [6850/10009 ( 68%)]  Loss:  5.310885 (4.8089)  Time: 0.675s,  189.66/s  (1.289s,   99.31/s)  LR: 2.002e-04  Data: 0.017 (0.628)
Train: 8 [6900/10009 ( 69%)]  Loss:  4.731359 (4.8075)  Time: 0.682s,  187.59/s  (1.288s,   99.38/s)  LR: 2.002e-04  Data: 0.019 (0.627)
Train: 8 [6950/10009 ( 69%)]  Loss:  4.877867 (4.8075)  Time: 3.083s,   41.51/s  (1.288s,   99.40/s)  LR: 2.002e-04  Data: 2.418 (0.627)
Train: 8 [7000/10009 ( 70%)]  Loss:  5.348346 (4.8078)  Time: 0.682s,  187.56/s  (1.287s,   99.42/s)  LR: 2.002e-04  Data: 0.017 (0.626)
Train: 8 [7050/10009 ( 70%)]  Loss:  3.409700 (4.8078)  Time: 0.650s,  196.79/s  (1.287s,   99.42/s)  LR: 2.002e-04  Data: 0.013 (0.626)
Train: 8 [7100/10009 ( 71%)]  Loss:  3.885122 (4.8082)  Time: 0.660s,  194.05/s  (1.287s,   99.45/s)  LR: 2.002e-04  Data: 0.017 (0.626)
Train: 8 [7150/10009 ( 71%)]  Loss:  4.161548 (4.8087)  Time: 3.063s,   41.79/s  (1.287s,   99.48/s)  LR: 2.002e-04  Data: 2.405 (0.626)
Train: 8 [7200/10009 ( 72%)]  Loss:  4.743954 (4.8091)  Time: 4.386s,   29.19/s  (1.286s,   99.51/s)  LR: 2.002e-04  Data: 3.717 (0.625)
Train: 8 [7250/10009 ( 72%)]  Loss:  4.297750 (4.8089)  Time: 0.676s,  189.49/s  (1.285s,   99.61/s)  LR: 2.002e-04  Data: 0.016 (0.624)
Train: 8 [7300/10009 ( 73%)]  Loss:  5.369032 (4.8085)  Time: 1.649s,   77.63/s  (1.285s,   99.64/s)  LR: 2.002e-04  Data: 0.989 (0.624)
Train: 8 [7350/10009 ( 73%)]  Loss:  3.966161 (4.8075)  Time: 4.692s,   27.28/s  (1.285s,   99.61/s)  LR: 2.002e-04  Data: 4.058 (0.624)
Train: 8 [7400/10009 ( 74%)]  Loss:  3.446363 (4.8075)  Time: 0.678s,  188.89/s  (1.284s,   99.65/s)  LR: 2.002e-04  Data: 0.017 (0.623)
Train: 8 [7450/10009 ( 74%)]  Loss:  5.161490 (4.8067)  Time: 0.657s,  194.72/s  (1.284s,   99.68/s)  LR: 2.002e-04  Data: 0.017 (0.623)
Train: 8 [7500/10009 ( 75%)]  Loss:  4.385084 (4.8062)  Time: 0.680s,  188.32/s  (1.284s,   99.69/s)  LR: 2.002e-04  Data: 0.020 (0.623)
Train: 8 [7550/10009 ( 75%)]  Loss:  5.244462 (4.8049)  Time: 4.318s,   29.64/s  (1.284s,   99.70/s)  LR: 2.002e-04  Data: 3.660 (0.623)
Train: 8 [7600/10009 ( 76%)]  Loss:  5.213184 (4.8052)  Time: 0.681s,  188.00/s  (1.283s,   99.77/s)  LR: 2.002e-04  Data: 0.016 (0.622)
Train: 8 [7650/10009 ( 76%)]  Loss:  4.136274 (4.8044)  Time: 0.655s,  195.30/s  (1.282s,   99.84/s)  LR: 2.002e-04  Data: 0.016 (0.621)
Train: 8 [7700/10009 ( 77%)]  Loss:  3.948942 (4.8040)  Time: 2.092s,   61.18/s  (1.281s,   99.91/s)  LR: 2.002e-04  Data: 1.428 (0.620)
Train: 8 [7750/10009 ( 77%)]  Loss:  4.373643 (4.8035)  Time: 0.688s,  185.98/s  (1.281s,   99.90/s)  LR: 2.002e-04  Data: 0.022 (0.620)
Train: 8 [7800/10009 ( 78%)]  Loss:  5.443298 (4.8036)  Time: 0.678s,  188.76/s  (1.282s,   99.88/s)  LR: 2.002e-04  Data: 0.018 (0.620)
Train: 8 [7850/10009 ( 78%)]  Loss:  4.221971 (4.8029)  Time: 0.657s,  194.85/s  (1.281s,   99.94/s)  LR: 2.002e-04  Data: 0.015 (0.620)
Train: 8 [7900/10009 ( 79%)]  Loss:  4.925029 (4.8029)  Time: 4.552s,   28.12/s  (1.281s,   99.95/s)  LR: 2.002e-04  Data: 3.888 (0.620)
Train: 8 [7950/10009 ( 79%)]  Loss:  5.290780 (4.8028)  Time: 0.675s,  189.55/s  (1.279s,  100.05/s)  LR: 2.002e-04  Data: 0.016 (0.618)
Train: 8 [8000/10009 ( 80%)]  Loss:  5.179117 (4.8016)  Time: 0.661s,  193.66/s  (1.278s,  100.17/s)  LR: 2.002e-04  Data: 0.017 (0.617)
Train: 8 [8050/10009 ( 80%)]  Loss:  5.109036 (4.8011)  Time: 0.660s,  193.84/s  (1.276s,  100.30/s)  LR: 2.002e-04  Data: 0.013 (0.615)
Train: 8 [8100/10009 ( 81%)]  Loss:  4.947054 (4.8011)  Time: 0.679s,  188.56/s  (1.275s,  100.42/s)  LR: 2.002e-04  Data: 0.018 (0.614)
Train: 8 [8150/10009 ( 81%)]  Loss:  4.105405 (4.8004)  Time: 0.688s,  186.13/s  (1.274s,  100.47/s)  LR: 2.002e-04  Data: 0.017 (0.613)
Train: 8 [8200/10009 ( 82%)]  Loss:  5.191988 (4.8003)  Time: 0.681s,  187.91/s  (1.273s,  100.52/s)  LR: 2.002e-04  Data: 0.017 (0.612)
Train: 8 [8250/10009 ( 82%)]  Loss:  4.763433 (4.7997)  Time: 0.676s,  189.40/s  (1.274s,  100.51/s)  LR: 2.002e-04  Data: 0.017 (0.613)
Train: 8 [8300/10009 ( 83%)]  Loss:  4.874442 (4.7993)  Time: 0.673s,  190.10/s  (1.273s,  100.52/s)  LR: 2.002e-04  Data: 0.017 (0.612)
Train: 8 [8350/10009 ( 83%)]  Loss:  4.135296 (4.7993)  Time: 0.655s,  195.39/s  (1.273s,  100.55/s)  LR: 2.002e-04  Data: 0.020 (0.612)
Train: 8 [8400/10009 ( 84%)]  Loss:  4.710888 (4.7991)  Time: 0.679s,  188.65/s  (1.273s,  100.57/s)  LR: 2.002e-04  Data: 0.019 (0.612)
Train: 8 [8450/10009 ( 84%)]  Loss:  5.514107 (4.7997)  Time: 0.659s,  194.33/s  (1.273s,  100.57/s)  LR: 2.002e-04  Data: 0.017 (0.612)
Train: 8 [8500/10009 ( 85%)]  Loss:  4.965554 (4.7998)  Time: 0.674s,  189.78/s  (1.273s,  100.56/s)  LR: 2.002e-04  Data: 0.016 (0.612)
Train: 8 [8550/10009 ( 85%)]  Loss:  5.090453 (4.8007)  Time: 0.677s,  188.98/s  (1.273s,  100.56/s)  LR: 2.002e-04  Data: 0.019 (0.612)
Train: 8 [8600/10009 ( 86%)]  Loss:  4.470533 (4.8010)  Time: 0.673s,  190.23/s  (1.273s,  100.56/s)  LR: 2.002e-04  Data: 0.016 (0.612)
Train: 8 [8650/10009 ( 86%)]  Loss:  3.779212 (4.8004)  Time: 0.679s,  188.57/s  (1.272s,  100.59/s)  LR: 2.002e-04  Data: 0.018 (0.611)
Train: 8 [8700/10009 ( 87%)]  Loss:  5.469777 (4.8000)  Time: 0.680s,  188.21/s  (1.272s,  100.62/s)  LR: 2.002e-04  Data: 0.018 (0.611)
Train: 8 [8750/10009 ( 87%)]  Loss:  5.016947 (4.8005)  Time: 2.416s,   52.98/s  (1.272s,  100.63/s)  LR: 2.002e-04  Data: 1.757 (0.611)
Train: 8 [8800/10009 ( 88%)]  Loss:  5.184491 (4.8000)  Time: 0.678s,  188.76/s  (1.272s,  100.64/s)  LR: 2.002e-04  Data: 0.018 (0.611)
Train: 8 [8850/10009 ( 88%)]  Loss:  3.843551 (4.7996)  Time: 0.678s,  188.86/s  (1.271s,  100.68/s)  LR: 2.002e-04  Data: 0.017 (0.610)
Train: 8 [8900/10009 ( 89%)]  Loss:  4.389071 (4.7991)  Time: 0.683s,  187.41/s  (1.271s,  100.70/s)  LR: 2.002e-04  Data: 0.017 (0.610)
Train: 8 [8950/10009 ( 89%)]  Loss:  5.227911 (4.7981)  Time: 0.894s,  143.21/s  (1.271s,  100.71/s)  LR: 2.002e-04  Data: 0.234 (0.610)
Train: 8 [9000/10009 ( 90%)]  Loss:  5.172513 (4.7979)  Time: 0.673s,  190.08/s  (1.272s,  100.64/s)  LR: 2.002e-04  Data: 0.016 (0.611)
Train: 8 [9050/10009 ( 90%)]  Loss:  5.508504 (4.7979)  Time: 0.674s,  189.87/s  (1.272s,  100.64/s)  LR: 2.002e-04  Data: 0.017 (0.611)
Train: 8 [9100/10009 ( 91%)]  Loss:  4.922767 (4.7972)  Time: 0.677s,  189.05/s  (1.271s,  100.71/s)  LR: 2.002e-04  Data: 0.016 (0.610)
Train: 8 [9150/10009 ( 91%)]  Loss:  5.293840 (4.7969)  Time: 0.662s,  193.40/s  (1.270s,  100.77/s)  LR: 2.002e-04  Data: 0.018 (0.609)
Train: 8 [9200/10009 ( 92%)]  Loss:  4.918777 (4.7958)  Time: 0.675s,  189.52/s  (1.269s,  100.85/s)  LR: 2.002e-04  Data: 0.017 (0.608)
Train: 8 [9250/10009 ( 92%)]  Loss:  3.905981 (4.7960)  Time: 0.682s,  187.70/s  (1.269s,  100.88/s)  LR: 2.002e-04  Data: 0.016 (0.608)
Train: 8 [9300/10009 ( 93%)]  Loss:  4.170527 (4.7953)  Time: 0.657s,  194.76/s  (1.268s,  100.93/s)  LR: 2.002e-04  Data: 0.017 (0.607)
Train: 8 [9350/10009 ( 93%)]  Loss:  5.122346 (4.7942)  Time: 0.679s,  188.62/s  (1.268s,  100.95/s)  LR: 2.002e-04  Data: 0.016 (0.607)
Train: 8 [9400/10009 ( 94%)]  Loss:  5.324159 (4.7943)  Time: 0.675s,  189.64/s  (1.268s,  100.98/s)  LR: 2.002e-04  Data: 0.017 (0.607)
Train: 8 [9450/10009 ( 94%)]  Loss:  5.357301 (4.7939)  Time: 0.680s,  188.24/s  (1.267s,  101.01/s)  LR: 2.002e-04  Data: 0.018 (0.606)
Train: 8 [9500/10009 ( 95%)]  Loss:  5.291383 (4.7936)  Time: 0.843s,  151.77/s  (1.267s,  101.04/s)  LR: 2.002e-04  Data: 0.016 (0.606)
Train: 8 [9550/10009 ( 95%)]  Loss:  5.374202 (4.7932)  Time: 1.882s,   68.00/s  (1.267s,  101.06/s)  LR: 2.002e-04  Data: 1.183 (0.606)
Train: 8 [9600/10009 ( 96%)]  Loss:  3.262227 (4.7927)  Time: 0.659s,  194.19/s  (1.266s,  101.07/s)  LR: 2.002e-04  Data: 0.017 (0.605)
Train: 8 [9650/10009 ( 96%)]  Loss:  4.846506 (4.7930)  Time: 0.655s,  195.37/s  (1.266s,  101.08/s)  LR: 2.002e-04  Data: 0.015 (0.605)
Train: 8 [9700/10009 ( 97%)]  Loss:  3.896454 (4.7924)  Time: 0.660s,  193.97/s  (1.266s,  101.09/s)  LR: 2.002e-04  Data: 0.016 (0.605)
Train: 8 [9750/10009 ( 97%)]  Loss:  5.486179 (4.7921)  Time: 5.713s,   22.40/s  (1.266s,  101.07/s)  LR: 2.002e-04  Data: 5.057 (0.605)
Train: 8 [9800/10009 ( 98%)]  Loss:  4.893372 (4.7910)  Time: 0.675s,  189.57/s  (1.266s,  101.07/s)  LR: 2.002e-04  Data: 0.016 (0.605)
Train: 8 [9850/10009 ( 98%)]  Loss:  4.207343 (4.7902)  Time: 0.663s,  193.12/s  (1.266s,  101.12/s)  LR: 2.002e-04  Data: 0.017 (0.605)
Train: 8 [9900/10009 ( 99%)]  Loss:  4.344048 (4.7901)  Time: 0.661s,  193.62/s  (1.266s,  101.14/s)  LR: 2.002e-04  Data: 0.017 (0.605)
Train: 8 [9950/10009 ( 99%)]  Loss:  5.005414 (4.7900)  Time: 5.862s,   21.84/s  (1.266s,  101.10/s)  LR: 2.002e-04  Data: 5.201 (0.605)
Train: 8 [10000/10009 (100%)]  Loss:  5.242568 (4.7903)  Time: 0.677s,  189.05/s  (1.265s,  101.15/s)  LR: 2.002e-04  Data: 0.017 (0.604)
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
Train: 8 [10008/10009 (100%)]  Loss:  4.065889 (4.7901)  Time: 1.131s,  113.18/s  (1.265s,  101.17/s)  LR: 2.002e-04  Data: 0.469 (0.604)
Test: [   0/390]  Time: 12.029 (12.029)  Loss:  1.4627 (1.4627)  Acc@1: 72.6562 (72.6562)  Acc@5: 89.8438 (89.8438)
Test: [  50/390]  Time: 0.223 (1.486)  Loss:  1.2051 (1.8837)  Acc@1: 78.1250 (61.9792)  Acc@5: 92.9688 (83.4559)
Test: [ 100/390]  Time: 0.224 (1.371)  Loss:  1.7227 (1.8570)  Acc@1: 56.2500 (61.1154)  Acc@5: 89.0625 (84.9706)
Test: [ 150/390]  Time: 0.226 (1.322)  Loss:  1.8662 (1.8269)  Acc@1: 57.8125 (61.6670)  Acc@5: 93.7500 (85.6685)
Test: [ 200/390]  Time: 0.224 (1.341)  Loss:  2.2488 (1.9875)  Acc@1: 51.5625 (58.5082)  Acc@5: 82.0312 (82.8047)
Test: [ 250/390]  Time: 1.457 (1.329)  Loss:  1.8426 (2.0872)  Acc@1: 66.4062 (56.7013)  Acc@5: 81.2500 (80.8983)
Test: [ 300/390]  Time: 2.497 (1.315)  Loss:  2.1060 (2.1771)  Acc@1: 64.0625 (54.8977)  Acc@5: 75.7812 (79.2826)
Test: [ 350/390]  Time: 0.228 (1.306)  Loss:  2.3670 (2.2467)  Acc@1: 53.9062 (53.5145)  Acc@5: 75.0000 (78.0449)
Test: [ 390/390]  Time: 0.544 (1.307)  Loss:  3.3418 (2.2266)  Acc@1: 23.7500 (53.7980)  Acc@5: 62.5000 (78.3220)
Test (EMA): [   0/390]  Time: 13.723 (13.723)  Loss:  6.9458 (6.9458)  Acc@1:  0.0000 ( 0.0000)  Acc@5:  1.5625 ( 1.5625)
Test (EMA): [  50/390]  Time: 0.224 (1.545)  Loss:  7.0564 (6.9446)  Acc@1:  0.0000 ( 0.0000)  Acc@5:  0.0000 ( 0.2757)
Test (EMA): [ 100/390]  Time: 2.510 (1.436)  Loss:  6.7515 (6.9446)  Acc@1:  0.0000 ( 0.1160)  Acc@5:  0.0000 ( 0.7194)
Test (EMA): [ 150/390]  Time: 0.224 (1.360)  Loss:  7.0023 (6.9393)  Acc@1:  0.0000 ( 0.0776)  Acc@5:  0.0000 ( 0.5639)
Test (EMA): [ 200/390]  Time: 0.224 (1.330)  Loss:  6.7245 (6.9381)  Acc@1:  1.5625 ( 0.0700)  Acc@5:  7.0312 ( 0.5286)
Test (EMA): [ 250/390]  Time: 0.228 (1.337)  Loss:  6.9717 (6.9377)  Acc@1:  0.0000 ( 0.0872)  Acc@5:  0.0000 ( 0.5852)
Test (EMA): [ 300/390]  Time: 7.475 (1.346)  Loss:  6.7808 (6.9495)  Acc@1:  0.0000 ( 0.0753)  Acc@5:  0.0000 ( 0.5217)
Test (EMA): [ 350/390]  Time: 0.227 (1.329)  Loss:  7.2505 (6.9487)  Acc@1:  0.0000 ( 0.0913)  Acc@5:  0.0000 ( 0.6099)
Test (EMA): [ 390/390]  Time: 0.596 (1.315)  Loss:  6.6281 (6.9489)  Acc@1:  0.0000 ( 0.0820)  Acc@5:  1.2500 ( 0.5620)
Current checkpoints:
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-0.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-1.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-2.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-3.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-4.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-5.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-6.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-7.pth.tar', 0.082)
 ('./output/train/20221020-233150-ViTAE_basic_Small-224/checkpoint-8.pth.tar', 0.082)

Train: 9 [   0/10009 (  0%)]  Loss:  5.021664 (5.0217)  Time: 11.702s,   10.94/s  (11.702s,   10.94/s)  LR: 2.251e-04  Data: 11.010 (11.010)
Train: 9 [  50/10009 (  0%)]  Loss:  4.259536 (4.7364)  Time: 0.656s,  195.10/s  (1.409s,   90.86/s)  LR: 2.251e-04  Data: 0.015 (0.749)
Train: 9 [ 100/10009 (  1%)]  Loss:  4.121908 (4.6852)  Time: 0.681s,  187.83/s  (1.311s,   97.65/s)  LR: 2.251e-04  Data: 0.020 (0.649)
Train: 9 [ 150/10009 (  1%)]  Loss:  3.859082 (4.7100)  Time: 0.690s,  185.59/s  (1.259s,  101.67/s)  LR: 2.251e-04  Data: 0.017 (0.595)
Train: 9 [ 200/10009 (  2%)]  Loss:  5.306050 (4.7237)  Time: 0.673s,  190.17/s  (1.275s,  100.38/s)  LR: 2.251e-04  Data: 0.018 (0.610)
Train: 9 [ 250/10009 (  2%)]  Loss:  5.036868 (4.7317)  Time: 0.679s,  188.38/s  (1.258s,  101.75/s)  LR: 2.251e-04  Data: 0.018 (0.591)
Train: 9 [ 300/10009 (  3%)]  Loss:  4.994505 (4.7166)  Time: 0.681s,  187.95/s  (1.240s,  103.26/s)  LR: 2.251e-04  Data: 0.016 (0.573)
Train: 9 [ 350/10009 (  3%)]  Loss:  5.536109 (4.7198)  Time: 0.676s,  189.23/s  (1.229s,  104.16/s)  LR: 2.251e-04  Data: 0.016 (0.563)
Train: 9 [ 400/10009 (  4%)]  Loss:  5.147220 (4.7228)  Time: 0.688s,  186.12/s  (1.218s,  105.06/s)  LR: 2.251e-04  Data: 0.017 (0.552)
Train: 9 [ 450/10009 (  4%)]  Loss:  4.715027 (4.7347)  Time: 0.679s,  188.59/s  (1.204s,  106.27/s)  LR: 2.251e-04  Data: 0.017 (0.538)
Train: 9 [ 500/10009 (  5%)]  Loss:  5.179228 (4.7452)  Time: 0.674s,  189.77/s  (1.200s,  106.67/s)  LR: 2.251e-04  Data: 0.017 (0.533)
Train: 9 [ 550/10009 (  5%)]  Loss:  3.704991 (4.7233)  Time: 0.693s,  184.68/s  (1.191s,  107.45/s)  LR: 2.251e-04  Data: 0.019 (0.523)
Train: 9 [ 600/10009 (  6%)]  Loss:  4.456166 (4.7293)  Time: 0.679s,  188.57/s  (1.189s,  107.66/s)  LR: 2.251e-04  Data: 0.018 (0.522)
Train: 9 [ 650/10009 (  6%)]  Loss:  3.968266 (4.7374)  Time: 0.682s,  187.79/s  (1.186s,  107.95/s)  LR: 2.251e-04  Data: 0.018 (0.518)
Train: 9 [ 700/10009 (  7%)]  Loss:  5.388905 (4.7374)  Time: 0.664s,  192.63/s  (1.187s,  107.88/s)  LR: 2.251e-04  Data: 0.016 (0.519)
Train: 9 [ 750/10009 (  7%)]  Loss:  4.368653 (4.7383)  Time: 0.746s,  171.52/s  (1.185s,  108.01/s)  LR: 2.251e-04  Data: 0.017 (0.518)
Train: 9 [ 800/10009 (  8%)]  Loss:  3.578250 (4.7308)  Time: 0.672s,  190.42/s  (1.190s,  107.56/s)  LR: 2.251e-04  Data: 0.018 (0.522)
Train: 9 [ 850/10009 (  8%)]  Loss:  4.001296 (4.7391)  Time: 0.676s,  189.30/s  (1.189s,  107.68/s)  LR: 2.251e-04  Data: 0.019 (0.521)
Train: 9 [ 900/10009 (  9%)]  Loss:  5.705706 (4.7456)  Time: 0.682s,  187.75/s  (1.190s,  107.59/s)  LR: 2.251e-04  Data: 0.019 (0.522)
Train: 9 [ 950/10009 (  9%)]  Loss:  5.380212 (4.7453)  Time: 0.652s,  196.34/s  (1.190s,  107.59/s)  LR: 2.251e-04  Data: 0.017 (0.522)
Train: 9 [1000/10009 ( 10%)]  Loss:  4.955590 (4.7441)  Time: 0.677s,  189.08/s  (1.194s,  107.16/s)  LR: 2.251e-04  Data: 0.018 (0.526)
Train: 9 [1050/10009 ( 10%)]  Loss:  4.465832 (4.7336)  Time: 0.677s,  189.14/s  (1.202s,  106.52/s)  LR: 2.251e-04  Data: 0.018 (0.533)
Train: 9 [1100/10009 ( 11%)]  Loss:  5.597369 (4.7356)  Time: 0.744s,  172.05/s  (1.203s,  106.40/s)  LR: 2.251e-04  Data: 0.018 (0.534)
Train: 9 [1150/10009 ( 11%)]  Loss:  5.347097 (4.7374)  Time: 0.681s,  187.84/s  (1.202s,  106.49/s)  LR: 2.251e-04  Data: 0.016 (0.533)
Train: 9 [1200/10009 ( 12%)]  Loss:  5.169045 (4.7430)  Time: 0.674s,  189.89/s  (1.203s,  106.39/s)  LR: 2.251e-04  Data: 0.018 (0.534)
Train: 9 [1250/10009 ( 12%)]  Loss:  5.150270 (4.7446)  Time: 0.682s,  187.70/s  (1.202s,  106.53/s)  LR: 2.251e-04  Data: 0.019 (0.532)
Train: 9 [1300/10009 ( 13%)]  Loss:  4.386423 (4.7492)  Time: 0.752s,  170.32/s  (1.200s,  106.67/s)  LR: 2.251e-04  Data: 0.018 (0.530)
Train: 9 [1350/10009 ( 13%)]  Loss:  4.688193 (4.7504)  Time: 0.727s,  175.96/s  (1.204s,  106.32/s)  LR: 2.251e-04  Data: 0.017 (0.534)
Train: 9 [1400/10009 ( 14%)]  Loss:  5.257333 (4.7515)  Time: 0.681s,  188.08/s  (1.212s,  105.62/s)  LR: 2.251e-04  Data: 0.019 (0.542)
Train: 9 [1450/10009 ( 14%)]  Loss:  4.778679 (4.7521)  Time: 0.749s,  170.98/s  (1.215s,  105.31/s)  LR: 2.251e-04  Data: 0.019 (0.545)
Train: 9 [1500/10009 ( 15%)]  Loss:  3.679257 (4.7502)  Time: 0.684s,  187.16/s  (1.216s,  105.27/s)  LR: 2.251e-04  Data: 0.018 (0.545)
Train: 9 [1550/10009 ( 15%)]  Loss:  5.012293 (4.7504)  Time: 0.687s,  186.26/s  (1.214s,  105.44/s)  LR: 2.251e-04  Data: 0.016 (0.543)
Train: 9 [1600/10009 ( 16%)]  Loss:  5.211040 (4.7474)  Time: 0.677s,  189.00/s  (1.216s,  105.25/s)  LR: 2.251e-04  Data: 0.018 (0.546)
Train: 9 [1650/10009 ( 16%)]  Loss:  3.816082 (4.7477)  Time: 0.683s,  187.53/s  (1.217s,  105.19/s)  LR: 2.251e-04  Data: 0.018 (0.546)
Train: 9 [1700/10009 ( 17%)]  Loss:  4.894853 (4.7496)  Time: 0.663s,  192.96/s  (1.215s,  105.37/s)  LR: 2.251e-04  Data: 0.015 (0.544)
Train: 9 [1750/10009 ( 17%)]  Loss:  4.693899 (4.7509)  Time: 0.689s,  185.82/s  (1.214s,  105.46/s)  LR: 2.251e-04  Data: 0.017 (0.543)
Train: 9 [1800/10009 ( 18%)]  Loss:  5.224141 (4.7538)  Time: 0.681s,  188.06/s  (1.215s,  105.39/s)  LR: 2.251e-04  Data: 0.019 (0.544)
Train: 9 [1850/10009 ( 18%)]  Loss:  5.079870 (4.7514)  Time: 0.982s,  130.29/s  (1.215s,  105.31/s)  LR: 2.251e-04  Data: 0.018 (0.544)
Train: 9 [1900/10009 ( 19%)]  Loss:  4.148240 (4.7469)  Time: 0.692s,  185.07/s  (1.214s,  105.46/s)  LR: 2.251e-04  Data: 0.017 (0.542)
Train: 9 [1950/10009 ( 19%)]  Loss:  4.506168 (4.7434)  Time: 0.682s,  187.67/s  (1.213s,  105.52/s)  LR: 2.251e-04  Data: 0.016 (0.542)
Train: 9 [2000/10009 ( 20%)]  Loss:  3.721470 (4.7406)  Time: 0.681s,  188.03/s  (1.214s,  105.43/s)  LR: 2.251e-04  Data: 0.018 (0.543)
Train: 9 [2050/10009 ( 20%)]  Loss:  5.792539 (4.7401)  Time: 0.679s,  188.55/s  (1.215s,  105.38/s)  LR: 2.251e-04  Data: 0.019 (0.544)
Train: 9 [2100/10009 ( 21%)]  Loss:  4.445802 (4.7427)  Time: 0.695s,  184.09/s  (1.215s,  105.31/s)  LR: 2.251e-04  Data: 0.029 (0.545)
Train: 9 [2150/10009 ( 21%)]  Loss:  5.183458 (4.7415)  Time: 0.686s,  186.62/s  (1.215s,  105.37/s)  LR: 2.251e-04  Data: 0.019 (0.544)
Train: 9 [2200/10009 ( 22%)]  Loss:  4.531749 (4.7415)  Time: 0.741s,  172.85/s  (1.216s,  105.30/s)  LR: 2.251e-04  Data: 0.019 (0.545)
